Exposure,Outcome,Confidence_Sum,Confidence_Mean,Confidence_Direction,Direction
4310996,4310996,49.269999999999996,6.1587499999999995,49.269999999999996,Increase
4310996,432250,3.22,3.22,3.22,Increase
4310996,4329728,13.68,6.84,13.68,Increase
4310996,4329847,1.0,1.0,1.0,Increase
4310996,440377,6.84,6.84,6.84,Increase
4310996,440383,25.49,5.098,25.49,Increase
4310996,440424,13.68,6.84,13.68,Increase
4310996,442310,3.0,3.0,3.0,Increase
4310996,443432,41.09,4.109,15.29,Increase
4310996,443454,13.68,6.84,13.68,Increase
4310996,44784217,6.0,6.0,6.0,Increase
4310996,44800078,4.34,4.34,4.34,Decrease
4310996,75053,2.68,2.68,2.68,Increase
4310996,8,6.84,6.84,6.84,Increase
4310996,81902,6.0,6.0,6.0,Increase
4310996,9,6.84,6.84,6.84,Increase
432250,37309626,4.0,4.0,4.0,Increase
432250,4180169,5.42,5.42,5.42,Increase
432250,4306655,3.22,3.22,3.22,Increase
432250,4310996,5.2,5.2,5.2,Increase
4322978,197672,2.68,2.68,2.68,Increase
4322978,201820,14.879999999999999,3.7199999999999998,14.879999999999999,Increase
4322978,255848,9.52,4.76,9.52,Increase
4322978,313217,20.259999999999998,5.0649999999999995,20.259999999999998,Increase
4322978,316866,31.62,6.324,31.62,Increase
4322978,318736,6.84,6.84,6.84,Decrease
4322978,321588,6.84,6.84,6.84,Increase
4322978,35622016,4.0,4.0,4.0,Increase
4322978,373995,6.84,6.84,6.84,Increase
4322978,4029305,4.34,4.34,4.34,Increase
4322978,4046360,4.61,4.61,4.61,Increase
4322978,40486533,0.51,0.51,0.51,Decrease
4322978,4059015,2.68,2.68,2.68,Increase
4322978,4070299,3.68,3.68,3.68,Decrease
4322978,4074035,0.89,0.89,0.89,Increase
4322978,4103842,6.84,6.84,6.84,Increase
4322978,4130526,4.0,4.0,4.0,Increase
4322978,4150603,6.84,6.84,6.84,Increase
4322978,4234656,6.84,6.84,6.84,Decrease
4322978,4285282,6.84,6.84,6.84,Increase
4322978,4298794,7.93,3.965,2.07,Increase
4322978,4306655,12.84,6.42,12.84,Increase
4322978,4306703,16.65,5.55,16.65,Increase
4322978,4306934,3.0,3.0,3.0,Decrease
4322978,4310996,98.64,6.165,98.64,Increase
4322978,443392,4.08,4.08,4.08,Increase
4322978,443432,20.36,5.09,1.3200000000000003,Increase
4322978,443784,3.44,3.44,3.44,Increase
4322978,6,4.61,4.61,4.61,Increase
4322978,81902,6.0,6.0,6.0,Increase
4327941,440383,6.84,6.84,6.84,Decrease
4327941,443432,2.38,2.38,2.38,Decrease
432867,201820,6.0,6.0,6.0,Increase
432867,313217,6.0,6.0,6.0,Increase
432867,316866,6.0,6.0,6.0,Increase
432867,4171825,6.0,6.0,6.0,Increase
432867,4213477,2.0,2.0,2.0,Decrease
432867,4310996,22.060000000000002,5.515000000000001,22.060000000000002,Increase
432867,604179,6.84,6.84,6.84,Increase
4329041,4234649,6.84,6.84,6.84,Increase
4329041,4306934,6.84,6.84,6.84,Increase
4329728,4234649,6.84,6.84,6.84,Increase
4329728,4306934,6.84,6.84,6.84,Increase
4329728,4329041,6.84,6.84,6.84,Increase
4329847,4306655,6.0,6.0,6.0,Increase
4329847,4310996,6.85,3.425,6.85,Increase
4329847,6,4.61,4.61,4.61,Increase
4336673,313217,2.0,2.0,2.0,Increase
4336673,316866,2.0,2.0,2.0,Increase
4336673,4231363,2.0,2.0,2.0,Increase
4336673,4310996,13.68,6.84,13.68,Increase
4336673,6,2.0,2.0,2.0,Increase
433736,313459,3.29,3.29,3.29,Increase
433736,316866,6.84,6.84,6.84,Increase
433736,35622016,4.0,4.0,4.0,Increase
433736,3654822,6.84,6.84,6.84,Decrease
433736,4119952,4.61,4.61,4.61,Increase
433736,4130526,4.0,4.0,4.0,Increase
433736,4180169,4.17,4.17,4.17,Increase
433736,4306655,5.42,5.42,5.42,Increase
433736,4310996,24.36,6.09,24.36,Increase
434633,44784217,4.0,4.0,4.0,Increase
434821,4310996,6.84,6.84,6.84,Increase
435657,316866,0.51,0.51,0.51,Increase
435657,35622016,2.68,2.68,2.68,Increase
435657,4130526,2.68,2.68,2.68,Increase
435657,4180169,1.4,1.4,1.4,Increase
436940,4232457,6.0,6.0,6.0,Increase
436940,4306703,6.0,6.0,6.0,Increase
436940,4310996,6.0,6.0,6.0,Increase
436940,606770,6.0,6.0,6.0,Increase
437312,4176126,6.84,6.84,6.84,Increase
439393,201820,4.08,4.08,4.08,Increase
439393,316866,10.08,5.04,10.08,Increase
439393,4310996,15.0,5.0,15.0,Increase
440377,255848,2.0,2.0,2.0,Increase
440377,36713755,6.84,6.84,6.84,Increase
440377,4052648,6.84,6.84,6.84,Increase
440377,4133004,6.84,6.84,6.84,Increase
440383,40479589,2.0,2.0,2.0,Increase
440383,4199549,2.68,2.68,2.68,Decrease
440383,4234649,5.1,5.1,5.1,Decrease
440383,4306655,14.21,4.736666666666667,14.21,Increase
440383,4306934,9.49,4.745,4.1899999999999995,Increase
440383,4310996,9.84,4.92,9.84,Increase
